dataset,level,element
Electronics/Avionics,4,Support and Handling Equipment (Propulsion)
Electronics/Avionics,4,Support and Handling Equipment (Electronics/Avionics)
Electronics/Avionics,4,Support and Handling Equipment (Other Major Subsystems 1...n (Specify))
Electronics/Avionics,2,Operational/Site Activation by Site 1...n (Specify)
Electronics/Avionics,3,System Assembly
Electronics/Avionics,3,Contractor Technical Support 
Electronics/Avionics,3,Site Construction 
Electronics/Avionics,3,Site /Ship/Vehicle Conversion
Electronics/Avionics,3,Interim Contractor Support (ICS)
Electronics/Avionics,2,Contractor Logistics Support (CLS)
Electronics/Avionics,2,Industrial Facilities
Electronics/Avionics,3,Construction/Conversion/Expansion
Electronics/Avionics,3,Equipment Acquisition or Modernization
Electronics/Avionics,3,Maintenance (Industrial Facilities)
Electronics/Avionics,2,Initial Spares and Repair Parts
Missile/Ordnance,1,WBS for MIL-STD-811f Appendix C: Missile/Ordnance System
Missile/Ordnance,2,Missile/Ordnance System Integration
Missile/Ordnance,2,Air Vehicle/Munition
Missile/Ordnance,3,Air Vehicle/Munition Integration
Missile/Ordnance,3,Airframe
Missile/Ordnance,4,Airframe Integration
Missile/Ordnance,4,Primary Structure
Missile/Ordnance,4,Secondary Structure
Missile/Ordnance,4,Aero-Structures
Missile/Ordnance,4,Other Airframe Components 1...n (Specify)
Missile/Ordnance,3,Propulsion Subsystem 1...n (Specify)
Missile/Ordnance,4,Propulsion Integration
Missile/Ordnance,4,Motor/Engine (Specify)
Missile/Ordnance,4,Fuel Management
Missile/Ordnance,4,Thrust Vector Actuation
Missile/Ordnance,4,Attitude Control System
Missile/Ordnance,4,Arm/Fire Device
Missile/Ordnance,4,Flight Termination/Mission Termination
Missile/Ordnance,4,Propulsion Software Release 1...n (Specify)
Missile/Ordnance,4,Other Propulsion Subsystems 1...n (Specify)
Missile/Ordnance,3,Power and Distribution
Missile/Ordnance,4,Power and Distribution Integration
Missile/Ordnance,4,Primary Power
Missile/Ordnance,4,Power Conditioning Electronics
Missile/Ordnance,4,Distribution Harness
Missile/Ordnance,4,Power and Distribution Software Release 1...n (Specify)
Missile/Ordnance,4,Other Power and Distribution Subsystems 1...n (Specify)
Missile/Ordnance,3,Guidance
Missile/Ordnance,4,Guidance Integration
Missile/Ordnance,4,Dome Assembly
Missile/Ordnance,4,Seeker Assemblies
Missile/Ordnance,4,Mission Computer
Missile/Ordnance,4,Guidance Software Release 1...n (Specify)
Missile/Ordnance,4,Other Guidance Subsystems 1...n (Specify)
Missile/Ordnance,3,Navigation
Missile/Ordnance,4,Navigation Integration
Missile/Ordnance,4,Sensor Assemblies
Missile/Ordnance,4,Navigation Software Release 1...n (Specify)
Missile/Ordnance,4,Other Navigation Subsystems 1...n (Specify)
Missile/Ordnance,3,Controls
Missile/Ordnance,4,Controls Integration
Missile/Ordnance,4,Primary Structure
Missile/Ordnance,4,Fin/Canard Deployment System
Missile/Ordnance,4,Actuators
Missile/Ordnance,4,Control Power
Missile/Ordnance,4,Controls Software Release 1...n (Specify)
Missile/Ordnance,4,Other Control Subsystems 1...n (Specify)
Missile/Ordnance,3,Communications
Missile/Ordnance,4,Communications Integration
Missile/Ordnance,4,Antenna Assembly
Missile/Ordnance,4,Transmitter
Missile/Ordnance,4,Receiver
Missile/Ordnance,4,Communications Software Release 1...n (Specify)
Missile/Ordnance,4,Other Communications Subsystems 1...n (Specify)
Missile/Ordnance,3,Payload
Missile/Ordnance,4,Payload Integration
Missile/Ordnance,4,Target Defeat Mechanism
Missile/Ordnance,4,Target Detection Device
Missile/Ordnance,4,Fuze
Missile/Ordnance,4,Payload Software Release 1...n (Specify)
Missile/Ordnance,4,Other Payload Subsystems 1...n (Specify)
Missile/Ordnance,3,On Board Test Equipment
Missile/Ordnance,3,On Board Training Equipment
Missile/Ordnance,3,Auxiliary Equipment
Missile/Ordnance,3,Air Vehicle Software Release 1...n (Specify)
Missile/Ordnance,2,Encasement Device
Missile/Ordnance,3,Encasement Device Integration
Missile/Ordnance,3,Encasement Device Structure
Missile/Ordnance,3,Encasement Device Software Release 1...n (Specify)
Missile/Ordnance,3,Other Encasement Device Subsystems 1...n (Specify)
Missile/Ordnance,2,Command and/or Launch
Missile/Ordnance,3,Command and/or Launch Integration
Missile/Ordnance,3,Surveillance
Missile/Ordnance,3,Communications
Missile/Ordnance,3,Launcher
Missile/Ordnance,3,Adapter Kits
Missile/Ordnance,3,Launch and Guidance Control
Missile/Ordnance,3,Ready Magazine
Missile/Ordnance,3,Auxiliary Equipment
Missile/Ordnance,3,Command and/or Launch Software Release 1...n (Specify)
Missile/Ordnance,3,Other Command and/or Launch 1...n (Specify)
Missile/Ordnance,2,Missile/Ordnance System Software Release 1...n (Specify)
Missile/Ordnance,2,Platform Integration
Missile/Ordnance,2,Systems Engineering
Missile/Ordnance,3,Software Systems Engineering
Missile/Ordnance,3,Integrated Logistics Support (ILS) Systems Engineering
Missile/Ordnance,3,Cybersecurity Systems Engineering
Missile/Ordnance,3,Core Systems Engineering
Missile/Ordnance,3,Other Systems Engineering 1...n (Specify)
Missile/Ordnance,2,Program Management
Missile/Ordnance,3,Software Program Management
Missile/Ordnance,3,Integrated Logistics Support (ILS) Program Management
Missile/Ordnance,3,Cybersecurity Management
Missile/Ordnance,3,Core Program Management
Missile/Ordnance,3,Other Program Management 1...n (Specify)
Missile/Ordnance,2,System Test and Evaluation
Missile/Ordnance,3,Developmental Test and Evaluation
Missile/Ordnance,4,Engineering Development Test
Missile/Ordnance,4,System Qualification Test
Missile/Ordnance,4,Test Instrumentation Kits (TIK)
Missile/Ordnance,4,Cybersecurity Test and Evaluation
Missile/Ordnance,4,Other DT&E Tests 1…n (Specify)
Missile/Ordnance,3,Operational Test and Evaluation
Missile/Ordnance,4,Cybersecurity Test and Evaluation
Missile/Ordnance,4,Other OT&E Tests 1…n (Specify) 
Missile/Ordnance,3,Live Fire Test and Evaluation
Missile/Ordnance,3,Mock-ups/System Integration Labs (SILs)
Missile/Ordnance,3,Test and Evaluation Support
Missile/Ordnance,3,Test Facilities
Missile/Ordnance,2,Training
Missile/Ordnance,3,Equipment
Missile/Ordnance,4,Operator Instructional Equipment
Missile/Ordnance,4,Maintainer Instructional Equipment
Missile/Ordnance,3,Services
Missile/Ordnance,4,Operator Instructional Services
Missile/Ordnance,4,Maintainer Instructional Services
Missile/Ordnance,3,Facilities
Missile/Ordnance,3,Training Software 1...n (Specify)
Missile/Ordnance,2,Data
Missile/Ordnance,3,Data Deliverables 1...n (Specify)
Missile/Ordnance,3,Data Repository
Missile/Ordnance,3,Data Rights 1...n (Specify)
Missile/Ordnance,2,Peculiar Support Equipment
Missile/Ordnance,3,Test and Measurement Equipment
Missile/Ordnance,4,Test and Measurement Equipment (Airframe/Hull/Vehicle)
Missile/Ordnance,4,Test and Measurement Equipment (Propulsion)
Missile/Ordnance,4,Test and Measurement Equipment (Electronics/Avionics)
Missile/Ordnance,4,Test and Measurement Equipment (Other Major Subsystems 1...n (Specify))
Missile/Ordnance,3,Support and Handling Equipment
Missile/Ordnance,4,Support and Handling Equipment (Airframe/Hull/Vehicle)
Missile/Ordnance,4,Support and Handling Equipment (Propulsion)
Missile/Ordnance,4,Support and Handling Equipment (Electronics/Avionics)
Missile/Ordnance,4,Support and Handling Equipment (Other Major Subsystems 1...n (Specify))
Missile/Ordnance,2,Common Support Equipment
Missile/Ordnance,3,Test and Measurement Equipment
Missile/Ordnance,4,Test and Measurement Equipment (Airframe/Hull/Vehicle)
Missile/Ordnance,4,Test and Measurement Equipment (Propulsion)
Missile/Ordnance,4,Test and Measurement Equipment (Electronics/Avionics)
Missile/Ordnance,4,Test and Measurement Equipment (Other Major Subsystems 1...n (Specify))
Missile/Ordnance,3,Support and Handling Equipment
Missile/Ordnance,4,Support and Handling Equipment (Airframe/Hull/Vehicle)
Missile/Ordnance,4,Support and Handling Equipment (Propulsion)
Missile/Ordnance,4,Support and Handling Equipment (Electronics/Avionics)
Missile/Ordnance,4,Support and Handling Equipment (Other Major Subsystems 1...n (Specify))
Missile/Ordnance,2,Operational/Site Activation by Site 1...n (Specify)
Missile/Ordnance,3,System Assembly
Missile/Ordnance,3,Contractor Technical Support
Missile/Ordnance,3,Site Construction
Missile/Ordnance,3,Site/Ship/Vehicle Conversion
Missile/Ordnance,3,Interim Contractor Support (ICS)
Missile/Ordnance,2,Contractor Logistics Support (CLS)
Missile/Ordnance,2,Industrial Facilities
Missile/Ordnance,3,Construction/Conversion/Expansion
Missile/Ordnance,3,Equipment Acquisition or Modernization
Missile/Ordnance,3,Maintenance (Industrial Facilities)
Missile/Ordnance,2,Initial Spares and Repair Parts
Depth Gauge,1,Depth Gauge - creates 10 deep hierarchy (L00)
Depth Gauge,2,Level 1 (L01)
Depth Gauge,3,Level 2 (L02)
Depth Gauge,4,Level 4 (L03)
Depth Gauge,5,Level 5 (L05)
Depth Gauge,6,Level 6 (L06)
Depth Gauge,7,Level 7 (L07)
Depth Gauge,8,Level 8 (L08)
Depth Gauge,9,Level 9 (L09)
Depth Gauge,10,Level 10 (L10)
Strategic Missile System,1,WBS for MIL-STD-811f Appendix D: Strategic Missile Systems
Strategic Missile System,2,Strategic Missile Systems Integration
Strategic Missile System,2,Air Vehicle Equipment (AVE)/Flight Vehicle Equipment (FVE)
Strategic Missile System,3,AVE/FVE SEIT/PM and Support Equipment
Strategic Missile System,3,Aero-Structures (Non-Stage Related)
Strategic Missile System,3,Stage (1...3) Interstage
Strategic Missile System,4,Stage 1 Interstage
Strategic Missile System,5,Stage 1 Interstage SEIT/PM and Support Equipment
Strategic Missile System,5,Structures and Mechanisms
Strategic Missile System,5,Separation Ordnance
Strategic Missile System,5,Attitude Control System (ACS)
Strategic Missile System,5,Interstage Peculiar Avionics
Strategic Missile System,5,Cable and Harness Assembly
Strategic Missile System,5,Flight Termination/Mission Termination
Strategic Missile System,5,Instrumentation/Telemetry
Strategic Missile System,4,Stage 2 Interstage
Strategic Missile System,4,Stage 3 Interstage
Strategic Missile System,3,Other AVE/FVE Structures 1...n (Specify)
Strategic Missile System,3,Stage (1...3)
Strategic Missile System,4,Stage 1
Strategic Missile System,5,Stage SEIT/PM and Support Equipment
Strategic Missile System,5,Structures and Mechanisms
Strategic Missile System,5,Propulsion System
Strategic Missile System,5,Attitude Control System
Strategic Missile System,5,Stage Peculiar Avionics
Strategic Missile System,5,Cable Assembly
Strategic Missile System,5,Flight Termination/Mission Termination
Strategic Missile System,5,Instrumentation/Telemetry
Strategic Missile System,4,Stage 2
Strategic Missile System,4,Stage 3
Strategic Missile System,3,Power and Distribution
Strategic Missile System,4,Power and Distribution SEIT/PM and Support Equipment
Strategic Missile System,4,Primary Power
Strategic Missile System,4,Power Conditioning Electronics
Strategic Missile System,4,Distribution Harness
Strategic Missile System,4,Power and Distribution Software Release 1...n (Specify)
Strategic Missile System,3,Guidance and Control
Strategic Missile System,4,Guidance and Control SEIT/PM and Support Equipment
Strategic Missile System,4,Guidance Computer
Strategic Missile System,4,Guidance and Control Electronics
Strategic Missile System,4,Navigation/Inertial Measurement Unit (IMU)
Strategic Missile System,4,Guidance and Control Cooling System
Strategic Missile System,4,Computer Memory Battery
Strategic Missile System,4,Guidance and Control Cables
Strategic Missile System,4,Guidance and Control Software Release 1...n (Specify)
Strategic Missile System,3,Communications
Strategic Missile System,4,Communications SEIT/PM and Support Equipment
Strategic Missile System,4,Antenna Assembly 1...n (Specify)
Strategic Missile System,4,Transceiver Assembly 1...n (Specify)
Strategic Missile System,4,Communications Software Release 1...n (Specify)
Strategic Missile System,3,Post Boost/Attitude Control Module (PBACM)
Strategic Missile System,4,PBACM SEIT/PM and Support Equipment
Strategic Missile System,4,Structures and Mechanisms
Strategic Missile System,4,Propulsion System
Strategic Missile System,4,Countermeasures
Strategic Missile System,4,PBACM Peculiar Avionics
Strategic Missile System,4,Cable Assembly
Strategic Missile System,4,Flight Termination/Mission Termination
Strategic Missile System,4,Instrumentation/Telemetry
Strategic Missile System,3,Payload/Reentry Systems
Strategic Missile System,4,Payload/Reentry Systems SEIT/PM and Support Equipment
Strategic Missile System,4,Payload/Reentry Vehicle 1...n (Specify)
Strategic Missile System,4,Countermeasures
Strategic Missile System,4,Deployment Housing/Bulkheads
Strategic Missile System,3,Ordnance Initiation Set
Strategic Missile System,3,On Board Test Equipment
Strategic Missile System,2,Encasement Device
Strategic Missile System,3,Encasement Device SEIT/PM and Support Equipment
Strategic Missile System,3,Encasement Device Structure
Strategic Missile System,3,Encasement Device Software Release 1...n (Specify)
Strategic Missile System,3,Other Encasement Device Subsystems 1...n (Specify)
Strategic Missile System,2,Command and Launch
Strategic Missile System,3,Command and Launch SEIT/PM and Support Equipment
Strategic Missile System,3,Launch and Guidance Control/Fire Control
Strategic Missile System,3,Communications
Strategic Missile System,3,Launch and Encasement Equipment
Strategic Missile System,3,Auxiliary Equipment
Strategic Missile System,3,Command and Launch (Ground) Software Release 1...n (Specify)
Strategic Missile System,3,Infrastructure
Strategic Missile System,3,Other Command and Launch 1...n (Specify)
Strategic Missile System,2,Systems Engineering
Strategic Missile System,3,Software Systems Engineering
Strategic Missile System,3,Integrated Logistics Support (ILS) Systems Engineering
Strategic Missile System,3,Cybersecurity Systems Engineering
Strategic Missile System,3,Nuclear Hardening and Survivability (NH&S)
Strategic Missile System,3,System Safety
Strategic Missile System,3,Nuclear Surety
Strategic Missile System,3,Core Systems Engineering
Strategic Missile System,3,Other Systems Engineering 1...n (Specify)
Strategic Missile System,2,Program Management
Strategic Missile System,3,Software Program Management
Strategic Missile System,3,Integrated Logistics Support (ILS) Program Management
Strategic Missile System,3,Cybersecurity Management
Strategic Missile System,3,Program Control
Strategic Missile System,3,Core Program Management
Strategic Missile System,3,Other Program Management 1...n (Specify)
Strategic Missile System,2,System Test and Evaluation
Strategic Missile System,3,Developmental Test and Evaluation
Strategic Missile System,4,Prototype (Pathfinder) Testing
Strategic Missile System,4,Qualification Test (X & PEM)
Strategic Missile System,4,Static Testing
Strategic Missile System,4,System Integration Testing
Strategic Missile System,4,System Acceptance Testing
Strategic Missile System,4,Cybersecurity Test and Evaluation
Strategic Missile System,4,Other DT&E Tests 1…n (Specify)
Strategic Missile System,3,Operational Test and Evaluation
Strategic Missile System,4,Initial Commander Evaluation Test 
Strategic Missile System,4,Ground/Simulated Electronic Launch
Strategic Missile System,4,Flight Testing 1…n (Specify)
Strategic Missile System,4,Cybersecurity Test and Evaluation
Strategic Missile System,4,Contractor Support 1…n (Specify)
Strategic Missile System,4,Operational Test and Evaluation Software Release 1…n (Specify)
Strategic Missile System,4,Other OT&E Tests 1…n (Specify)
Strategic Missile System,3,Mock-ups/System Integration Labs (SILs)
Strategic Missile System,3,Test and Evaluation Support
Strategic Missile System,4,Test Planning
Strategic Missile System,4,Pretest Activities
Strategic Missile System,4,Post-Test Analysis
Strategic Missile System,3,Test Facilities
Strategic Missile System,4,Commercial
Strategic Missile System,4,Government
Strategic Missile System,4,Test Equipment
Strategic Missile System,4,Instrumentation Testing
Strategic Missile System,3,Specialized Test Equipment
Strategic Missile System,2,Training
Strategic Missile System,3,Equipment
Strategic Missile System,4,Operator Instructional Equipment
Strategic Missile System,4,Maintainer Instructional Equipment
Strategic Missile System,3,Services
Strategic Missile System,4,Operator Instructional Services
Strategic Missile System,4,Maintainer Instructional Services
Strategic Missile System,3,Facilities
Strategic Missile System,3,Training Software Release 1...n (Specify)
Strategic Missile System,2,Data
Strategic Missile System,3,Data Deliverables 1...n (Specify)
Strategic Missile System,3,Data Repository
Strategic Missile System,3,Data Rights 1...n (Specify)
